rating,year,img,name,link,location,type,lat,lng
3,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/950210245fc0401a856f556519ba0a50?width=500&amp;sharp=1,Restaurant Gordon Ramsay,https://guide.michelin.com//en/greater-london/london/restaurant/restaurant-gordon-ramsay,London,French,51.4854381,-0.1621766
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e3722dea17274f27882e1c7ed265ab66?width=500&amp;sharp=1,Chez Bruce,https://guide.michelin.com//en/greater-london/london/restaurant/chez-bruce,London,French,51.4464026,-0.1653296
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e2d2721ac4694ff4ad15ef48a6d29f5f?width=500&amp;sharp=1,Harwood Arms,https://guide.michelin.com//en/greater-london/london/restaurant/harwood-arms,London,Modern British,51.4828975,-0.1964558
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/93021dbdd3a8467188524d05d176f465?width=500&amp;sharp=1,Ikoyi,https://guide.michelin.com//en/greater-london/london/restaurant/ikoyi,London,Creative,51.5091612,-0.1334203
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/04915b5e7647426baac23139d53fbd7d?width=500&amp;sharp=1,Club Gascon,https://guide.michelin.com//en/greater-london/london/restaurant/club-gascon,London,French,51.5185583,-0.100421
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/52fa365896654ce4afb1058dff4df85a?width=500&amp;sharp=1,Kitchen W8,https://guide.michelin.com//en/greater-london/london/restaurant/kitchen-w8,London,Modern Cuisine,51.4990858,-0.1969096
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ddfbce07ed274e109c1453ba80a39fbc?width=500&amp;sharp=1,Mãos,https://guide.michelin.com//en/greater-london/london/restaurant/maos,London,Innovative,51.5244713,-0.0752712
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a48d12c99a9941d99280f2edb523814d?width=500&amp;sharp=1,Benares,https://guide.michelin.com//en/greater-london/london/restaurant/benares,London,Indian,51.5097876,-0.1450274
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/8fe7084b8abf45a18976595a0198b313?width=500&amp;sharp=1,Trivet,https://guide.michelin.com//en/greater-london/london/restaurant/trivet,London,Modern Cuisine,51.502205,-0.084674
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/18936f44ccd94625ae1a75a7158c6af7?width=500&amp;sharp=1,Gymkhana,https://guide.michelin.com//en/greater-london/london/restaurant/gymkhana,London,Indian,51.5085431,-0.141547
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/50c606c8854f4d80b197e041afe541c8?width=500&amp;sharp=1,Wild Honey St James,https://guide.michelin.com//en/greater-london/london/restaurant/wild-honey-st-james,London,Modern British,51.5074542,-0.1321455
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/8343c00b396c479f8a436f4706c43cd5?width=500&amp;sharp=1,Kol,https://guide.michelin.com//en/greater-london/london/restaurant/kol,London,Mexican,51.5139088,-0.162784
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0cb705c5f1694ed7aa1140e9ae3fb7cc?width=500&amp;sharp=1,Angler,https://guide.michelin.com//en/greater-london/london/restaurant/angler392235,London,Seafood,51.5189674,-0.086521
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2a2a3c5aa7ea43a4b4570b7b66bb95b8?width=500&amp;sharp=1,La Trompette,https://guide.michelin.com//en/greater-london/london/restaurant/la-trompette,London,Modern British,51.491997,-0.256007
3,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c314cf18cdce48de94e5542715dd2e5a?width=500&amp;sharp=1,Hélène Darroze at The Connaught,https://guide.michelin.com//en/greater-london/london/restaurant/helene-darroze-at-the-connaught,London,Modern Cuisine,51.510188,-0.1492905
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b5f331f162104fbcbfc480a4ae2a5bb6?width=500&amp;sharp=1,River Café,https://guide.michelin.com//en/greater-london/london/restaurant/river-cafe,London,Italian,51.4841179,-0.2243521
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/192d04acf70540e4bff8fc167bd15207?width=500&amp;sharp=1,Locanda Locatelli,https://guide.michelin.com//en/greater-london/london/restaurant/locanda-locatelli,London,Italian,51.5150463,-0.1573303
3,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/bcf6ccfc534f4c83ae7ce9ce871e028b?width=500&amp;sharp=1,CORE by Clare Smyth,https://guide.michelin.com//en/greater-london/london/restaurant/core-by-clare-smyth,London,Modern British,51.5126689,-0.2030649
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/57ef82987fd745e79d1536bbca7721c6?width=500&amp;sharp=1,Evelyn's Table,https://guide.michelin.com//en/greater-london/london/restaurant/evelyn-s-table,London,Modern Cuisine,51.5111217,-0.1326731
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0df979882ac0405cbd52e544cfcf1faf?width=500&amp;sharp=1,Sollip,https://guide.michelin.com//en/greater-london/london/restaurant/sollip,London,Creative,51.5025583,-0.0846577
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/910213868f354203896faeea5cc1b3e6?width=500&amp;sharp=1,Endo at The Rotunda,https://guide.michelin.com//en/greater-london/london/restaurant/endo-at-the-rotunda,London,Japanese,51.510307,-0.2266159
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9283b22851984a17bca947039337e3fb?width=500&amp;sharp=1,Casa Fofō,https://guide.michelin.com//en/greater-london/london/restaurant/casa-fofo,London,Modern Cuisine,51.5499681,-0.0641532
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b228c5493c9440068f76a9a0f0bd3fc0?width=500&amp;sharp=1,Amaya,https://guide.michelin.com//en/greater-london/london/restaurant/amaya,London,Indian,51.4991357,-0.1572179
