Code,Housing,Stars,Restaurants,Population,Income,Name,weighted,Color,Predicted_Stars
E07000144,262291.031,,,130783,21073,Broadland,199662.6517,"(0, 76, 179)",1.0
E07000146,217699.8233,1.0,['The Neptune'],151383,19572,King's Lynn and West Norfolk,167604.10631,"(0, 57, 198)",0.0
E07000147,255655.07,2.0,"['Meadowsweet', 'Morston Hall']",104837,20466,North Norfolk,194333.119,"(0, 73, 182)",1.0
E07000148,204456.5833,,,140573,17170,Norwich,156544.33831,"(0, 51, 204)",0.0
E07000163,215741.5695,1.0,['The Angel'],57142,22181,Craven,167117.21865,"(0, 57, 198)",0.0
E07000164,231805.773,,,91594,23487,Hambleton,179620.88109999997,"(0, 64, 191)",0.0
E07000165,284710.4802,1.0,['Shaun Rankin at Grantley Hall'],160831,26868,Harrogate,219713.24614,"(0, 88, 167)",1.0
E07000167,236199.6474,2.0,"['Black Swan', 'Star Inn at Harome']",55380,22044,Ryedale,181324.35318,"(0, 65, 190)",0.0
E07000130,223647.2995,1.0,"[""John's House""]",185851,18275,Charnwood,171204.11965,"(0, 59, 196)",1.0
E07000135,220447.4051,,,57015,18629,Oadby and Wigston,167923.63357,"(0, 57, 198)",0.0
E07000141,216196.957,,,142424,21522,South Kesteven,167827.5099,"(0, 57, 198)",0.0
E07000124,215592.3066,1.0,['Northcote'],60888,24493,Ribble Valley,168668.59462000002,"(0, 58, 197)",0.0
E07000126,169240.0172,,,110788,19528,South Ribble,133245.49203999998,"(0, 37, 218)",0.0
E07000127,186886.6982,3.0,"['Moor Hall', 'The Barn']",114306,20004,West Lancashire,145966.54874,"(0, 44, 211)",0.0
E07000128,151267.5845,,,112091,18459,Wyre,119929.51914999998,"(0, 29, 226)",0.0
E07000129,229537.2559,,,101526,19145,Blaby,175092.83912999998,"(0, 61, 194)",0.0
E07000131,293602.6336,,,93807,24246,Harborough,223432.11352,"(0, 90, 165)",1.0
E07000132,221256.3415,,,113136,19841,Hinckley and Bosworth,169899.49904999998,"(0, 58, 197)",0.0
E07000133,226459.4892,,,51209,21473,Melton,174064.83244,"(0, 61, 194)",0.0
E07000134,207759.6006,,,103611,19644,North West Leicestershire,160218.63042,"(0, 53, 202)",0.0
W06000014,228398.676,1.0,['Home'],133587,19987,Vale of Glamorgan,175205.84319999997,"(0, 62, 193)",0.0
W06000015,210250.2053,,,366903,17431,Cardiff,163045.87371,"(0, 54, 201)",1.0
W06000019,93045.76732,,,69862,14630,Blaenau Gwent,76071.65712399999,"(0, 3, 252)",0.0
W06000020,148184.761,,,93961,16505,Torfaen,116222.4427,"(0, 27, 228)",0.0
W06000021,273209.0341,2.0,"['The Whitebrook', 'Walnut Tree']",94590,21392,Monmouthshire,207166.62387,"(0, 80, 175)",1.0
W06000022,184096.2085,,,154676,17977,Newport,142998.00595,"(0, 43, 212)",0.0
W06000023,186685.5798,,,132435,18287,Powys,144805.15586,"(0, 44, 211)",0.0
W06000001,176890.2767,1.0,['Sosban & The Old Butchers'],70043,17529,Isle of Anglesey,136793.92369,"(0, 39, 216)",0.0
W06000005,169483.3821,,,156100,18722,Flintshire,133304.76747,"(0, 37, 218)",0.0
W06000012,119141.6054,,,143315,16442,Neath Port Talbot,96341.67378,"(0, 15, 240)",0.0
W06000018,138299.2569,,,181075,15992,Caerphilly,109814.62983,"(0, 23, 232)",0.0
W06000024,107890.6521,,,60326,15592,Merthyr Tydfil,87041.11647000001,"(0, 10, 245)",0.0
E06000007,193896.1844,,,210014,20946,Warrington,152489.66908,"(0, 48, 207)",0.0
E06000013,146411.2633,1.0,['Winteringham Fields'],172292,17218,North Lincolnshire,116263.40431,"(0, 27, 228)",0.0
E06000018,144284.2182,3.0,"['Restaurant Sat Bains', 'alchemilla']",332900,13381,Nottingham,113694.65274,"(0, 25, 230)",0.0
E06000020,167254.7823,,,179854,17250,Telford and Wrekin,130951.88760999998,"(0, 36, 219)",0.0
E06000001,108739.0584,,,93663,15962,Hartlepool,88227.37087999999,"(0, 11, 244)",0.0
E06000004,135678.3997,,,197348,17519,Stockton-on-Tees,109211.65979,"(0, 23, 232)",0.0
E06000005,130085.8847,2.0,['Raby Hunt'],106803,17391,Darlington,104301.84928999998,"(0, 20, 235)",0.0
E06000006,143477.7195,,,129410,17907,Halton,114263.40365,"(0, 26, 229)",0.0
E06000008,115128.7345,,,149696,14484,Blackburn with Darwen,92225.87415,"(0, 13, 242)",0.0
E06000009,105993.3009,,,139446,16276,Blackpool,86982.97063,"(0, 10, 245)",0.0
E06000010,113060.5048,,,259778,14908,"Kingston upon Hull, City of",92175.73336,"(0, 13, 242)",0.0
E06000011,179831.0404,1.0,['Pipe and Glass'],341173,20516,East Riding of Yorkshire,143654.65828,"(0, 43, 212)",0.0
E06000012,123210.3784,,,159563,16569,North East Lincolnshire,99441.19488,"(0, 17, 238)",0.0
E06000014,255724.1442,1.0,['Roots'],210618,20216,York,195264.28094,"(0, 73, 182)",1.0
E06000015,160702.9726,,,257302,16793,Derby,126820.20082,"(0, 33, 222)",0.0
E06000016,175232.6659,,,354224,13802,Leicester,135866.50613,"(0, 38, 217)",1.0
E06000017,307199.8691,1.0,['Hambleton Hall'],39927,24707,Rutland,232734.07837,"(0, 95, 160)",1.0
E06000019,237128.7035,,,192801,20631,"Herefordshire, County of",182359.80245,"(0, 66, 189)",1.0
E06000044,211374.0835,,,214905,17028,Portsmouth,162030.50845,"(0, 54, 201)",1.0
E06000045,208058.8076,,,252520,17529,Southampton,160436.66532,"(0, 53, 202)",1.0
E06000046,219869.2029,,,141771,19211,Isle of Wight,168773.85203,"(0, 58, 197)",0.0
E06000047,102350.2888,,,530094,16617,County Durham,88578.04215999998,"(0, 11, 244)",0.0
E06000050,206018.8247,,,343071,22301,Cheshire West and Chester,163254.58729,"(0, 55, 200)",1.0
E06000051,214801.0943,,,323136,20732,Shropshire,168104.52601,"(0, 57, 198)",1.0
E06000052,233997.8423,3.0,"[""Outlaw's Fish Kitchen"", ""Outlaw's New Road"", 'Paul Ainsworth at No.6']",569578,18846,Cornwall,182686.46961,"(0, 66, 189)",2.0
E06000054,273729.3904,3.0,"['Bybrook', 'The Dining Room', 'Restaurant Hywel Jones by Lucknam Park']",500024,23179,Wiltshire,212836.11328,"(0, 84, 171)",2.0
E06000056,304323.1733,,,288648,22419,Central Bedfordshire,231606.00131,"(0, 95, 160)",2.0
E06000057,152304.7254,2.0,"['Hjem', 'Pine']",322434,20216,Northumberland,123988.84777999998,"(0, 31, 224)",0.0
E06000026,177043.8075,,,262100,17343,Plymouth,138691.76525,"(0, 40, 215)",0.0
E06000037,351255.0897,1.0,['The Woodspeen'],158450,26714,West Berkshire,266162.86279,"(0, 115, 140)",2.0
E06000042,258508.0643,,,269457,22116,Milton Keynes,199131.41501,"(0, 76, 179)",1.0
E06000021,112145.6088,,,256375,15455,Stoke-on-Trent,91884.17616,"(0, 13, 242)",0.0
E06000022,337049.8951,1.0,['Olive Tree'],193282,23515,Bath and North East Somerset,254328.24657,"(0, 108, 147)",2.0
E06000023,280436.6009,3.0,"['Bulrush', 'Casamia', 'Paco Tapas']",463377,20249,"Bristol, City of",215113.69063,"(0, 85, 170)",2.0
E06000024,264775.9129,,,215052,22878,North Somerset,203508.25903,"(0, 78, 177)",1.0
E06000025,278245.2026,,,285093,22900,South Gloucestershire,213652.57182,"(0, 84, 171)",2.0
E06000027,197793.7858,,,136264,18698,Torbay,152906.89005999998,"(0, 48, 207)",0.0
E06000030,214333.5281,,,222193,20516,Swindon,166616.59967,"(0, 56, 199)",0.0
E06000031,194513.1313,,,202259,18124,Peterborough,150868.58191,"(0, 47, 208)",0.0
E06000032,235378.6065,,,213052,16873,Luton,178706.64454999997,"(0, 64, 191)",1.0
E06000033,285439.942,,,183125,21187,Southend-on-Sea,216470.1094,"(0, 86, 169)",1.0
E06000034,267574.0462,,,174341,19951,Thurrock,203010.94233999995,"(0, 78, 177)",1.0
E06000035,242796.3218,,,278556,19814,Medway,186612.78526,"(0, 68, 187)",1.0
E06000036,334743.3042,,,122549,23892,Bracknell Forest,252270.20294,"(0, 107, 148)",2.0
E06000038,293658.9357,,,161780,23203,Reading,223421.15498999995,"(0, 90, 165)",1.0
E06000002,112611.6416,,,140980,15835,Middlesbrough,91322.44912,"(0, 12, 243)",0.0
E06000003,119806.8622,,,137150,16882,Redcar and Cleveland,97053.70354,"(0, 16, 239)",0.0
E06000049,228157.4605,,,384152,25486,Cheshire East,181391.94235,"(0, 65, 190)",1.0
E06000055,287393.4834,,,173292,22321,Bedford,218533.05838,"(0, 87, 168)",1.0
E06000039,296955.853,,,149539,19469,Slough,222992.7871,"(0, 90, 165)",2.0
E06000040,472825.8184,8.0,"['Coworth Park', 'Waterside Inn', 'Hinds Head', 'Fat Duck']",151422,31975,Windsor and Maidenhead,354874.79288,"(0, 167, 88)",4.0
E06000041,406089.1079,,,171119,29443,Wokingham,306583.66552999994,"(0, 139, 116)",3.0
E06000043,364492.8287,,,290885,23142,Brighton and Hove,274253.23009,"(0, 120, 135)",3.0
W06000002,159634.1175,,,124560,15941,Gwynedd,124148.18225,"(0, 32, 223)",0.0
W06000003,168635.7313,,,117203,18189,Conwy,131949.34191,"(0, 36, 219)",0.0
W06000004,155914.7402,,,95696,17901,Denbighshire,122627.97814,"(0, 31, 224)",0.0
W06000006,157903.236,,,135957,17785,Wrexham,124341.3352,"(0, 32, 223)",0.0
W06000008,185083.003,3.0,"['Ynyshir', 'SY23']",72695,17065,Ceredigion,142230.5521,"(0, 42, 213)",0.0
W06000009,176297.8949,,,125818,17207,Pembrokeshire,136711.60643,"(0, 39, 216)",0.0
W06000010,148102.9115,,,188771,16928,Carmarthenshire,117409.34805,"(0, 28, 227)",0.0
W06000011,149330.8904,1.0,['Beach House'],246993,16262,Swansea,118384.95328,"(0, 28, 227)",0.0
W06000013,154621.4849,,,147049,17047,Bridgend,121638.42943,"(0, 30, 225)",0.0
