Code,Housing,Stars,Restaurants,Population,Income,Name,weighted,Color,Predicted_Stars
S12000030,189403.4496,,,94210,21345,Stirling,148466.01472,"(0, 46, 209)",0.0
S12000033,148668.0449,,,228670,21349,Aberdeen City,121298.63143,"(0, 30, 225)",0.0
S12000010,227760.1702,,,107090,22494,East Lothian,176248.81914,"(0, 62, 193)",0.0
S12000035,143852.2542,,,85870,20314,Argyll and Bute,115775.07794,"(0, 27, 228)",0.0
N09000010,144849.0489,,,181368,16728,"Newry, Mourne and Down",114917.61423,"(0, 26, 229)",0.0
N09000011,154717.6865,,,161725,18925,Ards and North Down,123167.13055,"(0, 31, 224)",0.0
E09000029,373196.4433,1.0,['Bohemia'],206349,25591,Sutton,281214.70031,"(0, 124, 131)",3.0
E09000006,438405.6782,,,332336,30157,Bromley,331317.23474,"(0, 153, 102)",4.0
E09000016,364713.3978,,,259552,24089,Havering,274757.19846,"(0, 120, 135)",3.0
E09000022,508348.5089,1.0,['Trinity'],326034,30386,Lambeth,380374.49623,"(0, 182, 73)",5.0
E09000027,650883.187,2.0,"['Dysart Petersham', 'The Glasshouse']",198019,43363,Richmond upon Thames,487952.5209,"(0, 245, 10)",7.0
E09000030,438332.4244,4.0,"['Da Terra', 'Mãos', 'Galvin La Chapelle']",324745,26404,Tower Hamlets,328562.94708,"(0, 151, 104)",4.0
E09000002,299686.2048,,,212906,18928,Barking and Dagenham,225159.00336,"(0, 91, 164)",2.0
E09000003,520386.4253,,,395869,31489,Barnet,390271.48771,"(0, 188, 67)",6.0
E09000004,338057.898,,,248287,23401,Bexley,255504.0986,"(0, 109, 146)",2.0
E09000005,484770.1893,,,329771,26376,Brent,361100.04251,"(0, 171, 84)",5.0
E09000007,834748.7033,5.0,"['The Ninth', 'Hakkasan Mayfair', 'Pied à Terre', 'Kitchen Table']",270029,44015,Camden,617834.88231,"(65, 190, 0)",10.0
E09000008,365762.5183,,,386710,24603,Croydon,277122.96281,"(0, 121, 134)",3.0
E09000009,473336.2406,,,341806,28155,Ealing,354461.92842,"(0, 167, 88)",5.0
E09000010,394057.3336,,,333794,23710,Enfield,295775.07352,"(0, 132, 123)",4.0
E09000011,391560.0285,,,287942,24700,Greenwich,294261.43995,"(0, 131, 124)",3.0
E09000031,431536.5135,,,276983,24614,Waltham Forest,322075.18945,"(0, 148, 107)",4.0
E09000032,588820.2647,1.0,['Chez Bruce'],329677,40851,Wandsworth,444066.65529,"(0, 219, 36)",6.0
E09000033,956750.3887,45.0,"['Le Gavroche', 'Muse', 'Seven Park Place', 'Ikoyi', 'Benares', 'Gymkhana', 'Wild Honey St James', 'Kol', 'Hélène Darroze at The Connaught', 'Locanda Locatelli', ""Evelyn's Table"", 'Amaya', 'Dining Room at The Goring', 'Sketch (The Lecture Room & Library)', 'Ritz Restaurant', 'Veeraswamy', 'Murano', 'Dinner by Heston Blumenthal', 'Quilon', 'Pollen Street Social', 'Kai', 'Portland', 'Pétrus by Gordon Ramsay', 'Umu', 'Frog by Adam Handling', 'Hakkasan Hanway Place', 'Trishna', 'A. Wong', 'Sabor', 'Alain Ducasse at The Dorchester', 'Marcus', 'SO|LA', 'Barrafina', 'HIDE', 'Jamavar']",261317,53670,Westminster,709907.44209,"(119, 136, 0)",11.0
E09000012,556561.4469,8.0,"['Brat', 'Casa Fofō', 'Behind', 'Leroy', 'The Clove Club', 'Cornerstone', ""Lyle's""]",281120,24575,Hackney,409606.71283,"(0, 199, 56)",6.0
E09000013,718438.7406,3.0,"['Harwood Arms', 'River Café', 'Endo at The Rotunda']",185143,43040,Hammersmith and Fulham,534886.54842,"(16, 239, 0)",8.0
E09000014,548828.597,,,268647,30176,Haringey,407989.6878999999,"(0, 198, 57)",6.0
E09000015,449686.3771,,,251160,29284,Harrow,337790.86397,"(0, 157, 98)",4.0
E09000017,405173.0671,,,306870,23160,Hillingdon,302901.84697,"(0, 136, 119)",4.0
E09000018,402167.3098,1.0,['La Trompette'],271523,26575,Hounslow,302834.84685999993,"(0, 136, 119)",3.0
E09000019,631678.6048,2.0,"['Angler', 'St John']",242467,32534,Islington,467373.49336,"(0, 233, 22)",7.0
